Channel Number	Receive Frequency	Transmit Frequency	Offset Frequency	Offset Direction	Operating Mode	AMS	Name	Tone Mode	CTCSS	DCS	RX DGID	TX DGID	User CTCSS	Tx Power	Skip	Step	Clock Shift	Memory Group	Comment
414	441.42500	446.42500	5.00 MHz	Plus	FM	Off	N7KN (RR#128)	Tone	110.9 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Whidbey Isl. (Charlie N7KN's repeater system)
415	442.72500	447.72500	5.00 MHz	Plus	FM	Off	N7YRC (RR#129)	Tone	127.3 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Cowiche Mtn. (N7YRC Group)
416	444.75000	449.75000	5.00 MHz	Plus	FM	Off	N7YRC (RR#130)	Tone	131.8 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Lookout Point (N7YRC Group)
417	145.23000	144.63000	600 kHz	Minus	FM	Off	N3KPU (RR#132)	Tone	146.2 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Graham (Michael N3KPU's repeater system)
418	442.75000	447.75000	5.00 MHz	Plus	FM	Off	KE7YYD (RR#133)	Tone	100.0 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	JBLM (Madigan Army Medical Center)
419	147.32000	147.92000	600 kHz	Plus	FM	Off	K7CST (RR#134)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Kent (Kent Communications Support Team ARC)
420	146.86000	146.26000	600 kHz	Minus	FM	Off	WA7SAR (RR#135)	Tone	123.0 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Darland Mtn. (Yakima County Radio Amateurs)
421	147.08000	147.68000	600 kHz	Plus	FM	Off	WA7SAR (RR#136)	Tone	123.0 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	King Mtn. (Yakima County Radio Amateurs)
422	444.60000	449.60000	5.00 MHz	Plus	FM	Off	WA7SAR (RR#137)	Tone	123.0 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Yakima (Yakima County Radio Amateurs)
423	146.70000	146.10000	600 kHz	Minus	FM	Off	N7JN (RR#138)	Tone	131.8 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	San Juan Isl. (San Juan County Amateur Radio Club)
424	224.48000	222.88000	1.60 MHz	Minus	FM	Off	N7JN (RR#139)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Mt. Constitution (San Juan County Amateur Radio Club)
425	443.45000	448.45000	5.00 MHz	Plus	FM	Off	N7JN (RR#140)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Mt. Constitution (San Juan County Amateur Radio Club)
426	224.16000	222.56000	1.60 MHz	Minus	FM	Off	W7ECG (RR#141)	Tone	156.7 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Lookout Mtn. (Whatcom Emergency Communications Group)
427	442.25000	447.25000	5.00 MHz	Plus	FM	Off	W7ECG (RR#142)	Tone	156.7 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Lookout Mtn. (Whatcom Emergency Communications Group)
428	442.82500	447.82500	5.00 MHz	Plus	FM	Off	W7ECG (RR#143)	Tone	156.7 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Ferndale (Whatcom Emergency Communications Group)
429	146.86000	146.26000	600 kHz	Minus	FM	Off	W7AVM (RR#144)	Tone	127.3 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Whidbey Isl. (Island County ARC)
430	147.22000	147.82000	600 kHz	Plus	FM	Off	W7AVM (RR#145)	Tone	127.3 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Whidbey Isl. (Island County ARC)
431	147.02000	147.62000	600 kHz	Plus	FM	Off	KB7ARA (RR#146)	None	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Lookout Pass, MT (Kamiak Butte Amateur Repeater Association)
432	441.10000	446.10000	5.00 MHz	Plus	FM	Off	K7BEL (RR#147)	Tone	156.7 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Bellevue, WA (Bellevue Communication Support)
433	147.08000	147.68000	600 kHz	Plus	FM	Off	WW7ATS (RR#148)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Cougar Mtn, WA (Western Washington Amateur Television Society)
434	147.87500	147.27500	600 kHz	Minus	FM Narrow	Off	WW7STR (RR#149)	Tone	88.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Cougar Mtn, WA (SeaTac Rptr Assoc)
435	224.44000	222.84000	1.60 MHz	Minus	FM	Off	WW7STR (RR#150)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Cougar Mtn, WA (SeaTac Repeater Association)
436	441.55000	446.55000	5.00 MHz	Plus	FM	Off	WW7ATS (RR#151)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Cougar Mtn, WA (Western Washington Amateur Television Society)
437	442.15000	447.15000	5.00 MHz	Plus	FM	Off	WW7STR (RR#152)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Cougar Mtn, WA (SeaTac Repeater Association)
438	444.85000	449.85000	5.00 MHz	Plus	FM	Off	WW7STR (RR#153)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Cougar Mtn, WA (SeaTac Repeater Association)
439	927.21250	902.21250	25.00 MHz	Minus	FM Narrow	Off	WW7STR (RR#154)	Tone	114.8 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Cougar Mtn, WA (SeaTac Repeater Association)
440	146.70000	146.10000	600 kHz	Minus	FM	Off	W7EAT (RR#155)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Eatonville (Eatonville Amateur Radio Club)
441	224.18000	222.58000	1.60 MHz	Minus	FM	Off	W7EAT (RR#156)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Graham (Eatonville Amateur Radio Club)
442	440.95000	445.95000	5.00 MHz	Plus	FM	Off	K7DK (RR#157)	Tone	110.9 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Buck Mtn. (Mark K7DK's repeater system)
